id;xorig;yorig;xdest;ydest;facper
454;309034;5038443;299451;5041417;23.304
455;309220;5038385;299674;5041433;22.962
456;308033;5042066;304102;5057089;26.196
457;308249;5042242;304096;5056990;22.972
458;311700;5038851;299318;5040359;32.828
459;303849;5041106;279525;5032377;27.001
460;312387;5047613;298193;5035924;18.677
461;306718;5032825;295920;5042015;24.081
462;305669;5039001;298976;5039465;25.921
463;306874;5038705;300947;5034862;25.703
464;306512;5037851;298199;5037977;22.691
465;306686;5038083;300808;5046193;29.286
466;306726;5037843;299541;5040439;21.049
467;305861;5038656;300320;5041252;20.757
468;312366;5037579;298442;5033363;26.070
469;312572;5037590;298522;5033554;25.022
470;307154;5042064;296265;5046966;21.773
471;304281;5040607;298694;5039510;33.166
472;309998;5050401;302536;5049236;28.391
473;304137;5041718;299788;5039911;33.276
474;312340;5040092;299513;5040283;25.310
475;312097;5039920;298865;5039623;26.953
476;317673;5042134;300903;5037328;72.829
477;309080;5039051;297578;5040068;21.795
478;306163;5037353;290207;5041222;19.311
479;306323;5037334;290042;5041287;17.324
480;312913;5040769;300039;5040822;27.094
481;312186;5040597;301244;5048421;23.995
482;304458;5043725;297161;5044053;18.358
483;307384;5035112;295936;5034222;30.964
484;304581;5041037;293919;5038368;31.679
485;310547;5033919;297093;5037623;22.840
486;308148;5043841;299736;5040466;33.059
487;305609;5041404;299281;5040923;29.648
488;309137;5039018;292846;5035836;22.063
489;309654;5050094;300684;5048185;22.977
490;306267;5036912;298889;5039966;35.532
491;306200;5036935;299369;5040391;35.211
492;306231;5036917;295684;5038892;32.380
493;305173;5044121;294199;5051400;36.731
494;306966;5043002;297383;5044305;35.308
495;307117;5043262;300023;5042259;35.455
496;309834;5038030;299169;5039805;22.806
497;309885;5038268;299577;5040169;26.076
498;304311;5041949;299710;5041122;26.716
499;308179;5048403;293700;5037985;16.377
500;316376;5043987;298372;5040529;37.424
501;313705;5036126;291275;5039815;29.981
502;304934;5043206;295438;5039932;27.315
503;304688;5043382;295545;5039893;34.429
504;309083;5052440;288834;5037563;29.801
505;306803;5037098;293009;5039565;19.734
506;310538;5037336;299864;5038185;34.491
507;306543;5036285;298670;5044607;36.317
508;311730;5036734;300441;5038453;33.888
509;311651;5036803;299068;5040762;34.484
510;309583;5042736;298774;5040153;47.170
511;317440;5043245;299856;5038363;29.401
512;309378;5041588;292494;5040588;27.921
513;303745;5042127;289890;5033083;46.655
514;307027;5048674;299176;5051228;34.384
515;304346;5040207;300525;5039607;20.099
516;310727;5039078;299628;5040704;20.674
517;303142;5042839;299055;5041976;22.693
518;306126;5036493;292944;5039354;29.289
519;306834;5036694;299106;5040356;23.993
520;310362;5040783;297407;5044457;24.639
521;310644;5038110;299921;5040157;22.048
522;308142;5033968;299222;5039798;24.275
523;308162;5034004;295731;5037353;28.989
524;313790;5036226;299653;5040831;32.904
525;304599;5040454;300594;5039334;34.260
526;309167;5038907;294648;5045444;19.437
527;309367;5038938;295035;5040347;18.625
528;309352;5038869;295296;5040483;19.512
529;305770;5042381;298183;5039352;32.384
530;307468;5037150;293915;5033743;26.546
531;307394;5046914;304533;5056717;37.198
532;310957;5041976;300986;5050414;27.278
533;308580;5035809;299396;5040135;34.703
534;308438;5036177;272049;5031339;27.904
535;308389;5036130;295632;5035843;31.346
536;308987;5042788;303158;5039293;28.927
537;308920;5042830;295149;5045421;29.018
538;306877;5036711;299298;5034359;19.851
539;307496;5032617;298547;5039727;26.922
540;307339;5032608;298720;5039659;33.889
541;307517;5032831;299161;5040374;35.419
542;306503;5043066;286701;5034286;24.293
543;306515;5043059;299409;5040414;22.880
544;304949;5046169;295364;5052075;21.784
545;310987;5035995;299890;5041677;36.373
546;307704;5043746;293892;5044392;25.914
547;305509;5041444;289936;5038800;29.708
548;308755;5036990;299293;5040073;29.094
549;307209;5039488;294643;5039193;45.004
550;306711;5039932;294766;5039748;18.384
551;306956;5039908;294798;5039608;22.158
552;309471;5050615;300000;5037060;21.812
553;313855;5036131;300100;5041623;35.783
554;306777;5047014;290391;5045207;20.974
555;307966;5044334;298774;5049064;29.138
556;307313;5042153;299223;5040584;37.607
557;307332;5042372;299000;5040438;29.264
558;310246;5040301;294893;5047996;38.387
559;305881;5040683;299191;5042674;29.767
560;307814;5035508;295814;5040960;37.239
561;312442;5038143;303839;5056929;27.754
562;312527;5041007;300210;5042819;27.347
563;312342;5040776;300426;5043535;23.299
564;307531;5043790;300172;5040048;25.405
565;303736;5043848;299514;5040741;29.285
566;303809;5043863;300700;5042664;38.899
567;307626;5034951;294221;5034440;20.872
568;304001;5043649;299123;5040320;54.788
569;303947;5043422;299887;5041549;29.442
570;308380;5048629;286749;5033773;32.699
571;304564;5045496;280579;5036129;30.717
572;316330;5041865;289227;5041803;33.689
573;310518;5040029;289519;5039383;21.814
574;309349;5050259;299295;5039896;23.054
575;309120;5050312;293915;5034984;26.029
576;307604;5038934;298307;5043202;37.210
577;305134;5039710;299258;5043482;15.253
578;305025;5045253;295573;5046073;35.004
579;306285;5043772;299272;5040346;32.859
580;308621;5034728;299739;5041494;30.471
581;308613;5034562;299344;5040544;30.077
582;308599;5034733;297981;5039846;24.163
583;306798;5042120;299152;5040370;31.011
584;306510;5034097;299661;5040477;32.711
585;305494;5041742;300429;5041721;29.156
586;305539;5047026;297757;5038227;23.033
587;311980;5039375;296913;5054863;19.163
588;302968;5042748;291325;5045800;35.462
589;304463;5044827;299273;5041856;25.074
590;309109;5050024;298907;5040325;40.001
591;309633;5039157;298633;5039347;22.564
592;309792;5039112;281579;5038071;22.522
593;306171;5046623;296165;5044303;24.402
594;306198;5046907;296122;5044313;29.930
595;306332;5046854;299657;5039652;28.540
596;310291;5039577;294727;5039796;27.616
597;310105;5039398;299575;5040237;30.008
598;303329;5042358;293638;5031168;29.476
599;305643;5047163;299855;5040734;32.907
600;305986;5036560;298486;5042677;26.556
601;307606;5042183;300803;5042966;21.296
602;309342;5048745;295280;5040104;28.533
603;308828;5043792;300639;5041919;23.845
604;308706;5043620;300689;5041844;24.824
605;315453;5041764;294355;5031531;40.554
606;307037;5041724;300941;5047898;28.339
607;307191;5041947;300942;5047983;26.288
608;306833;5039145;301553;5036941;19.349
609;303358;5043060;299731;5045301;22.652
610;306027;5041812;294692;5038609;31.252
611;306838;5042783;300112;5040357;24.445
612;304126;5039127;294565;5040188;19.298
613;303875;5039396;295687;5039760;16.075
614;307123;5047186;298341;5055668;20.295
615;305286;5045970;296709;5043880;30.502
616;308496;5049616;299331;5041943;31.669
617;308528;5049650;285423;5041974;26.299
618;307116;5043851;296636;5053110;30.287
619;307311;5044046;298337;5050673;24.628
620;308441;5046167;299408;5040235;34.677
621;309923;5050294;299176;5039737;41.774
622;307867;5034980;300411;5045639;35.600
623;307605;5035158;287694;5034421;27.032
624;307684;5042897;298881;5041758;27.823
625;306980;5032905;297394;5050331;23.014
626;307121;5036859;297919;5036914;25.321
627;312501;5040846;299896;5041654;19.140
628;309541;5051134;299696;5041444;24.561
629;309531;5051182;286476;5039061;30.379
630;309955;5038038;300392;5045740;29.073
631;306937;5041827;299877;5040775;34.111
632;309721;5039744;299225;5040127;24.621
633;309760;5039611;298057;5038919;22.384
634;306033;5045379;298890;5039965;36.339
635;308001;5043033;303955;5052163;34.941
636;311432;5039886;299892;5041834;28.350
637;309008;5041468;299877;5043043;31.198
638;309297;5054472;299684;5040506;35.797
639;308884;5047745;299205;5044382;37.178
640;304455;5043512;299825;5042960;29.742
641;304436;5043367;300130;5041771;27.177
642;312223;5048161;299557;5051094;23.201
643;311975;5041018;294981;5038119;20.054
644;303938;5040593;298456;5039419;20.868
645;305636;5035295;298965;5040325;29.825
646;305648;5035420;298900;5040164;37.344
647;305675;5035255;298928;5040142;28.936
648;305827;5035413;298679;5040098;29.380
649;306410;5036281;285371;5035634;34.244
650;306417;5036463;299973;5040819;57.081
651;310437;5048414;299217;5039873;26.608
652;306757;5036986;299125;5039931;26.646
653;306931;5037004;299050;5039961;20.009
654;305687;5042153;298816;5042397;29.780
655;307323;5042420;297096;5043535;23.181
656;305205;5043927;305165;5058532;24.228
657;307667;5039978;296062;5043160;24.651
658;304776;5037537;295900;5040434;38.645
659;304957;5037528;299466;5040130;31.111
660;306922;5035540;299701;5039733;33.113
661;306966;5035696;294154;5033763;43.293
662;306428;5043978;294814;5045524;23.403
663;308169;5039318;302473;5049269;36.054
664;307281;5036624;292383;5047996;31.501
665;307961;5037782;299991;5039536;42.016
666;304763;5037482;299391;5039705;16.932
667;309232;5039008;299584;5040069;43.729
668;309033;5039002;299405;5039691;28.319
669;309259;5038790;299059;5039972;44.912
670;310054;5049253;299643;5051093;38.003
671;303639;5040980;298594;5046288;23.450
672;307188;5036528;293962;5035729;23.462
673;305130;5046041;302103;5049538;29.289
674;304573;5042873;301897;5047925;41.760
675;307033;5037503;295000;5030693;41.810
676;307813;5039651;299718;5039949;26.545
677;317362;5041999;301575;5036867;35.432
678;312243;5040669;293765;5045770;29.606
679;312185;5040691;301581;5047276;26.742
